"naics","est.total","emp.total"
"523///",43.776857,1007.8393999875
"5231//",5,511.5
"52312/",5,511.5
"523120",5,511.5
"5239//",36.3437999,874.0313428875
"52391/",5,5
"523910",5,5
"52392/",15.4330571,804.016505066667
"523920",15.4330571,804.016505066667
"52393/",7,247.875
"523930",7,247.875
"52399/",3,3
"524///",35.330571,1749.37449204306
"5242//",32.3751996,2184.29483560913
"52421/",30.3751996,2182.29483560913
"524210",30.3751996,2182.29483560913
"525///",3,645.333333333333
"5259//",3,645.333333333333
"53----",245.9206266,4266.10427394286
"531///",211.7553411,3465.91519199643
"5311//",46.9867711,1703.31734318036
"53111/",9.8214856,1074.0508098875
"531110",9.8214856,1074.0508098875
"53112/",17,980.5
"531120",17,980.5
"53119/",9.3884285,761.652508444444
"531190",9.3884285,761.652508444444
"5312//",105.4512279,2444.34437162619
"53121/",105.4512279,2444.34437162619
"531210",105.4512279,2444.34437162619
"5313//",48.5851137,2635.94512488333
"53131/",24.9421425,2271.07003991667
"531311",19.5983426,1564.60106806667
"53132/",5.8661142,5.8661142
"531320",5.8661142,5.8661142
"53139/",7,7
"531390",7,7
"532///",23.3884285,1457.888514475
"5322//",10,250.875
"53228/",10,250.875
"532284",8,248.875
"5324//",3,3
"54----",460.7916827,4908.11459876984
"541///",460.7916827,4908.11459876984
"5411//",32.8528853,2486.37724328413
"54111/",29.3751996,2242.02455758413
"541110",29.3751996,2242.02455758413
"5412//",46.1966852,2275.95876838472
"54121/",46.1966852,2275.95876838472
"541211",17.2991713,1660.4245152
"541219",17.776857,1612.86027630833
"5413//",40.330571,1802.4486171875
"54131/",3,645.333333333333
"541310",3,645.333333333333
"54133/",18.6875998,2008.36373898611
"541330",18.6875998,2008.36373898611
"54135/",3,645.333333333333
"541350",3,645.333333333333
"5414//",10,732.625
"54141/",6,487.75
"541410",6,487.75
"54143/",3,645.333333333333
"541430",3,645.333333333333
"5415//",123.1206569,1330.38473684444
"54151/",123.1206569,1330.38473684444
"541511",63,975
"541512",46.776857,1480.88812095556
"541519",5,245.875
"5416//",126.0181708,3165.99984222004
"54161/",103.8528853,1787.51789263413
"541611",57.2545427,1213.77553365417
"541613",30.4330571,1059.89150506667
"541618",6,6
"54162/",6,728.625
"541620",6,728.625
"54169/",8,489.75
"541690",8,489.75
"5417//",9,490.75
"54171/",9,490.75
"541714",4,244.875
"541715",5,245.875
"5418//",17.3437999,1161.86479085417
"54181/",4,244.875
"541810",4,244.875
"54182/",3,645.333333333333
"541820",3,645.333333333333
"5419//",33.6875998,2616.77830267639
"54192/",3,3
"541921",3,3
"54194/",7.4330571,555.141505066667
"541940",7.4330571,555.141505066667
"54199/",6,246.875
"541990",6,246.875
"55----",11.7322284,1948.41997199583
"551///",11.7322284,1948.41997199583
"5511//",11.7322284,1948.41997199583
"55111/",11.7322284,1948.41997199583
"56----",216.6577969,7204.41246058571
"561///",208.4478828,6852.14249441429
"5611//",26.2099141,1882.60599102917
"56111/",26.2099141,1882.60599102917
"561110",26.2099141,1882.60599102917
"5613//",9.8661142,798.449562166667
"56131/",3,3
"56132/",4,860.444444444444
"561320",4,860.444444444444
"5614//",7.4330571,730.0580571
"56144/",3,645.333333333333
"561440",3,645.333333333333
"5615//",3,645.333333333333
"5617//",130.1305407,6786.40170323214
"56172/",33.7189995,2695.55287734167
"561720",33.7189995,2695.55287734167
"56173/",73.214856,4730.46237319107
"561730",73.214856,4730.46237319107
"5619//",5,486.75
"56199/",4,860.444444444444
"561990",4,860.444444444444
"61----",25.2099141,2188.43943899583
"611///",25.2099141,2188.43943899583
"6114//",5,5
"61143/",5,5
"611430",5,5
"6116//",11.9107428,849.5982857875
"61169/",3,645.333333333333
"62----",398.8065084,8529.16318927936
"621///",268.6131683,5527.30334086984
"6211//",102.9603133,3961.24132300972
"62111/",102.9603133,3961.24132300972
"621111",99.0049419,4190.86634654544
"621112",3,645.333333333333
"6212//",20.2545427,2619.15928689167
"62121/",20.2545427,2619.15928689167
"621210",20.2545427,2619.15928689167
"6213//",76.437999,3537.43238237976
"62131/",8.3437999,605.1563428875
"621310",8.3437999,605.1563428875
"62132/",3,645.333333333333
"621320",3,645.333333333333
"62133/",5.9107428,361.8482857875
"621330",5.9107428,361.8482857875
"62134/",35.2859424,2443.41031526131
"621340",35.2859424,2443.41031526131
"62139/",10.3437999,1275.8995083
"621391",4,860.444444444444
"621399",4.4330571,4.4330571
"6214//",25.1652855,2428.3115630375
"62142/",3,645.333333333333
"621420",3,645.333333333333
"62149/",17.776857,3114.87446133333
"621493",4,860.444444444444
"621498",12.2991713,2067.88284853333
"6215//",10.7322284,1144.50330532917
"62151/",10.7322284,1144.50330532917
"621512",4,860.444444444444
"6216//",10.6875998,1725.36738405417
"62161/",10.6875998,1725.36738405417
"621610",10.6875998,1725.36738405417
"6219//",5,1075.55555555556
"62199/",4,860.444444444444
"621999",4,860.444444444444
"624///",94.1437696,4445.57772242917
"6241//",51.9603133,3190.97609335694
"62412/",36.2280849,1679.3534288
"624120",36.2280849,1679.3534288
"62419/",9.776857,1273.43001688889
"624190",9.776857,1273.43001688889
"6242//",8.2991713,1515.80268675
"6244//",27.1520566,3515.203848575
"62441/",27.1520566,3515.203848575
"624410",27.1520566,3515.203848575
"71----",83.7636281,3366.2852014375
"711///",18,258.875
"7115//",7,7
"71151/",7,7
"711510",7,7
"713///",58.4644568,3865.46918482778
"7131//",6,752.25
"71311/",3,645.333333333333
"713110",3,645.333333333333
"71312/",3,645.333333333333
"713120",3,645.333333333333
"7139//",51.4644568,4214.02077212936
"71393/",12,1215.7619047619
