"NAICS","A_MEAN"
"481200",98405.7669204576
"482000",74929.1520160889
"482100",74929.1520160889
"483000",91137.093953186
"483100",90475.9466984885
"483200",92347.2903225807
"484000",54707.7412451237
"485000",43839.012118019
"485100",49787.2428940568
"485200",47490.9429824561
"485300",40568.2839140104
"485400",44795.1675223906
"485500",47638.9079079079
"485900",39701.3360589431
"486000",97586.2180442047
"486100",101081.003193688
"486200",95772.9852306888
"486900",94274.2610062893
"487000",50033.1576986138
"487100",45858.9469285416
"487200",51749.6721092077
"487900",59610.8035714286
"488000",59248.4264387064
"488100",58024.2616893985
"488200",56758.3116247783
"488300",74068.7131402533
"488400",47137.2205476238
"488500",61696.6235018815
"488900",48206.4581897542
"491000",58653.9876067393
"491100",58653.9876067393
"492000",51964.5607931691
"492100",53729.0983241125
"492200",42872.1107410491
"493000",47484.8679912099
"493100",47484.8679912099
"510000",105172.060662745
"512000",85389.8222499671
"512100",85424.691616531
"512130",30043.4197124026
"512200",82218.7278667791
"513000",109838.885875102
"513100",76352.0969808469
"513110",56578.5251893939
"513200",126589.167692217
"516000",111216.281355485
"516100",69429.2456907467
"516110",58912.0646347067
"516120",77775.16666163
"516200",125414.67302737
"517000",80536.6224109653
"518000",106061.296192747
"518200",106061.296192747
"519000",142507.593686043
"519200",142507.593686043
"520000",88274.8888912602
"521000",118417.845456337
"521100",118417.845456337
"522000",76567.3610344203
"5220A1",75770.6354319991
"522200",79258.8830640047
"522290",77992.2980129552
"523000",133836.078781779
"524000",81941.560272133
"524100",87202.3812125887
"524114",82259.100075451
"524120",85604.3822117972
"524200",76947.4234966327
"524210",76987.672749583
"524290",76837.6093052936
"525000",93679.0891739197
"525100",79059.7339729612
"525900",101604.384761905
"530000",58604.6652281764
"531000",60533.248739971
"532000",50661.051688496
"5320A1",54701.2576728707
"532100",43699.2771552494
"533000",91483.8410466706
"533100",91483.8410466706
"540000",96922.3667462288
"541000",96922.3667462288
"541100",101734.462687657
"541200",82181.9459275334
"541300",90612.3235000695
"541330",97394.8372540234
"541380",72158.6579306201
"541400",73354.6212531111
"541500",111010.180844096
"541600",96057.6767953804
"541700",123451.615533702
"541710",125767.061674239
"541720",92848.5965687107
"541800",86993.9757206618
"541900",63622.646409669
"541920",47516.2490991564
"541940",54151.6475075276
"550000",99879.1665178008
"551000",99879.1665178008
"551100",99879.1665178008
"560000",49133.1465169782
"561000",48811.8747013881
"561100",73014.8049001416
"561200",51355.941240749
"561300",50944.2791988051
"561320",48064.2362427838
"561400",46503.5993779066
"561500",61242.6905480265
"561600",40857.2231085286
"561610",37176.5159943655
"561620",58987.5120499008
"561700",39668.4579573068
"561710",46150.5076719874
"561730",44144.5517638037
"561900",51240.0762986379
"562000",55197.244183207
"562100",51236.2656719098
"562200",59294.8852901484
"562900",57524.0409595146
"610000",63600.4806922616
"611000",63600.2224891145
"611100",58717.5236387877
"611200",73680.1394117006
"611300",76366.4023130979
"611400",79094.0567935319
"611500",65347.9904197913
"611600",49622.8960173469
"611700",69271.7096766844
"620000",63703.3468248155
"621000",73989.627728839
"621100",96033.7668429961
"621200",70516.2076898715
"621300",63448.6187899194
"621310",51518.4824719412
"621320",53542.7075952244
"621330",67608.231237083
"621340",68262.0551462693
"621390",65500.8679361252
"621400",77589.2889347357
"621420",57773.0106844156
"621500",69740.0683224313
"621600",46333.8419277221
"621900",53839.7949322186
"621910",46831.8604250289
"621990",61426.7210250437
"622000",77133.1140074767
"622100",77340.1768533936
"622200",62765.9762888369
"622300",80803.2844578083
"623000",43323.4897862438
"623100",47025.6399586406
"623200",40835.3688783252
"623210",36842.7277379171
"623220",47669.7218761895
"623300",39607.7808061971
"623900",41876.2976251726
"624000",38110.0318496661
"624100",38227.3407028401
"624120",34239.2584589697
"624200",48357.125507701
"624300",39993.8689053537
"624400",34813.745748999
"710000",47506.3905522697
"711000",73788.2073327404
"711100",65309.1585238418
"711110",56898.8612539879
"711200",85329.2862335091
"711300",58427.6932919565
"711400",101750.518933062
"711500",77433.7469056342
"712000",50370.8709681651
"712100",50370.8709681651
"713000",39771.6098233716
"713100",36778.4000613277
"713200",41154.4764246744
"713900",39976.5033606979
"713940",41345.9390810608
"720000",33688.4631604852
"721000",39715.5162363749
"721100",39721.7917094611
"721120",41156.1764453622
"721200",39714.2874152472
"721300",37879.6985339665
"722000",32762.2147442498
"722300",38597.8938421389
"722400",35444.777832842
"722500",32292.0031871903
"722511",34756.869916396
"810000",51288.5093478982
